seconds,underlying,volume
806,194.49,1
807,194.4823,1
808,194.487,30
809,194.49,7
810,194.49,7
811,194.5,1
812,194.49,1
813,194.48,1
814,194.475,1
815,194.47,1
816,194.4601,2
817,194.47,1
818,194.47,1
819,194.47,1
820,194.47,1
821,194.46,1
822,194.465,2
823,194.465,2
824,194.465,2
825,194.4604,1
826,194.47,1
827,194.4624,10
828,194.4624,10
829,194.49,1
830,194.08,1
831,194.0899,3
832,194.095,2
833,194.1,1
834,194.11,1
835,194.1195,1
836,194.109,2
837,194.11,5
838,194.1015,1
839,194.11,1
840,194.11,2
841,194.1199,1
842,194.11,2
843,194.11,1
844,194.1026,2
845,194.1,1
846,194.1,1
847,194.11,1
848,194.1201,1
849,194.13,1
850,194.13,1
851,194.11,1
852,194.11,1
853,194.1149,1
854,194.1101,1
855,194.12,1
856,194.1499,2
857,194.12,1
858,194.1209,1
859,194.12,1
860,194.12,1
861,194.12,1
862,194.12,1
863,194.12,1
864,194.115,2
865,194.135,1
866,194.135,1
867,194.14,1
868,194.13,1
869,194.14,1
870,194.15,1
871,194.16,1
872,194.16,1
873,194.16,1
874,194.17,2
875,194.17,2
876,194.1601,6
877,194.155,1
878,194.12,1
879,194.12,1
880,194.1278,1
881,194.13,1
882,194.1299,1
883,194.1299,1
884,194.125,3
885,194.14,1
886,194.12,1
887,194.12,1
888,194.135,4
889,194.135,4
890,194.135,4
891,194.13,34
892,194.11,1
893,194.11,1
894,194.1155,7
895,194.1155,7
896,194.11,1
897,194.11,1
898,194.12,1
899,194.135,1
900,194.1691,5
901,194.17,1
902,194.163,1
903,194.1631,1
904,194.18,1
905,194.185,9
906,194.1847,1
907,194.18,3
908,194.19,2
909,194.19,1
910,194.1995,6
911,194.184,1
912,194.2,1
913,194.19,1
914,194.19,1
915,194.19,1
916,194.17,1
917,194.16,1
918,194.17,5
919,194.15,2
920,194.15,2
921,194.14,1
922,194.14,1
923,194.14,1
924,194.145,6
925,194.14,1
926,194.12,1
927,194.11,1
928,194.1,2
929,194.1,6
930,194.1099,5
931,194.0859,5
932,194.1,1
933,194.13,1
934,194.1399,1
935,194.12,1
936,194.12,1
937,194.13,1
938,194.14,1
939,194.14,1
940,194.15,4
941,194.16,1
942,194.18,6
943,194.2,1
944,194.1962,1
945,194.18,1
946,194.19,3
947,194.2,1
948,194.2083,1
949,194.21,1
950,194.2,3
951,194.21,1
952,194.21,1
953,194.21,1
954,194.21,1
955,194.2,1
956,194.18,1
957,194.18,1
958,194.2,1
959,194.2,1
960,194.2,1
961,194.2,1
962,194.2,2
963,194.2,1
964,194.2,1
965,194.2,1
966,194.2044,1
967,194.205,1
968,194.2,1
969,194.21,1
970,194.21,1
971,194.19,1
972,194.1826,2
973,194.178,1
974,194.18,1
975,194.18,5
976,194.1812,1
977,194.1812,1
978,194.19,1
979,194.1998,1
980,194.18,1
981,194.184,6
982,194.1805,1
983,194.185,1
984,194.18,1
985,194.2,1
986,194.22,1
987,194.21,1
988,194.22,10
989,194.1982,10
990,194.1961,2
991,194.18,1
992,194.2,1
993,194.18,1
994,194.18,1
995,194.19,1
996,194.185,1
997,194.185,1
998,194.2267,5
999,194.19,1
1000,194.19,1
1001,194.205,1
1002,194.2099,24
1003,194.2099,24
1004,194.2,1
1005,194.2,1
1006,194.2,1
1007,194.2,1
1008,194.2,1
1009,194.22,1
1010,194.24,2
1011,194.24,1
1012,194.24,4
1013,194.24,4
1014,194.23,1
1015,194.2254,1
1016,194.2357,2
1017,194.23,1
1018,194.2388,1
1019,194.236,1
