,Date,Open,High,Low,Close,Adj Close,Volume,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
193,2022-06-06,147.029999,148.570007,144.899994,146.139999,144.701096,71598400,,,,,,,,,,,,
194,2022-06-07,144.350006,149.0,144.100006,148.710007,147.245804,67808200,,,,,,,,,,,,
195,2022-06-08,148.580002,149.869995,147.460007,147.960007,146.50322,53950200,,,,,,,,,,,,
196,2022-06-09,147.080002,147.949997,142.529999,142.639999,141.235565,69473000,,,,,,,,,,,,
197,2022-06-10,140.279999,140.759995,137.059998,137.130005,135.779831,91437900,,,,,,,,,,,,
198,2022-06-13,132.869995,135.199997,131.440002,131.880005,130.581512,122207100,,,,,,,,,,,,
199,2022-06-14,133.130005,133.889999,131.479996,132.759995,131.452835,84784300,,,,,,,,,,,,
200,2022-06-15,134.289993,137.339996,132.160004,135.429993,134.096558,91533000,,,,,,,,,,,,
201,2022-06-16,132.080002,132.389999,129.039993,130.059998,128.779419,108123900,,,,,,,,,,,,
202,2022-06-17,130.070007,133.080002,129.809998,131.559998,130.264664,134520300,,,,,,,,,,,,
203,2022-06-21,133.419998,137.059998,133.320007,135.869995,134.532227,81000500,,,,,,,,,,,,
204,2022-06-22,134.789993,137.759995,133.910004,135.350006,134.017365,73409200,,,,,,,,,,,,
205,2022-06-23,136.820007,138.589996,135.630005,138.270004,136.908585,72433800,,,,,,,,,,,,
206,2022-06-24,139.899994,141.910004,139.770004,141.660004,140.265228,89116800,,,,,,,,,,,,
207,2022-06-27,142.699997,143.490005,140.970001,141.660004,140.265228,70207900,,,,,,,,,,,,
208,2022-06-28,142.130005,143.419998,137.320007,137.440002,136.086777,67083400,,,,,,,,,,,,
209,2022-06-29,137.460007,140.669998,136.669998,139.229996,137.859146,66242400,,,,,,,,,,,,
210,2022-06-30,137.25,138.369995,133.770004,136.720001,135.373856,98964500,,,,,,,,,,,,
211,2022-07-01,136.039993,139.039993,135.660004,138.929993,137.562088,71051600,,,,,,,,,,,,
212,2022-07-05,137.770004,141.610001,136.929993,141.559998,140.166183,73353800,,,,,,,,,,,,
213,2022-07-06,141.350006,144.119995,141.080002,142.919998,141.512833,74064300,,,,,,,,,,,,
214,2022-07-07,143.289993,146.550003,143.279999,146.350006,144.909042,66253700,,,,,,,,,,,,
215,2022-07-08,145.259995,147.550003,145.0,147.039993,145.592224,64547800,,,,,,,,,,,,
216,2022-07-11,145.669998,146.639999,143.779999,144.869995,143.443604,63141600,,,,,,,,,,,,
217,2022-07-12,145.759995,148.449997,145.050003,145.860001,144.423859,77588800,,,,,,,,,,,,
218,2022-07-13,142.990005,146.449997,142.119995,145.490005,144.057526,71185600,,,,,,,,,,,,
219,2022-07-14,144.080002,148.949997,143.25,148.470001,147.008179,78140700,,,,,,,,,,,,
220,2022-07-15,149.779999,150.860001,148.199997,150.169998,148.691437,76259900,,,,,,,,,,,,
221,2022-07-18,150.740005,151.570007,146.699997,147.070007,145.621964,81420900,,,,,,,,,,,,
222,2022-07-19,147.919998,151.229996,146.910004,151.0,149.513275,82982400,,,,,,,,,,,,
223,2022-07-20,151.119995,153.720001,150.369995,153.039993,151.533173,64823400,,,,,,,,,,,,
224,2022-07-21,154.5,155.570007,151.940002,155.350006,153.820435,65086600,,,,,,,,,,,,
225,2022-07-22,155.389999,156.279999,153.410004,154.089996,152.57283,66675400,,,,,,,,,,,,
226,2022-07-25,154.009995,155.039993,152.279999,152.949997,151.444046,53623900,,,,,,,,,,,,
227,2022-07-26,152.259995,153.089996,150.800003,151.600006,150.107361,55138700,,,,,,,,,,,,
228,2022-07-27,152.580002,157.330002,152.160004,156.789993,155.246246,78620700,,,,,,,,,,,,
229,2022-07-28,156.979996,157.639999,154.410004,157.350006,155.800751,81378700,,,,,,,,,,,,
230,2022-07-29,161.240005,163.630005,159.5,162.509995,160.909943,101786900,,,,,,,,,,,,
231,2022-08-01,161.009995,163.589996,160.889999,161.509995,159.919754,67829400,,,,,,,,,,,,
232,2022-08-02,160.100006,162.410004,159.630005,160.009995,158.434555,59907000,,,,,,,,,,,,
233,2022-08-03,160.839996,166.589996,160.75,166.130005,164.494293,82507500,,,,,,,,,,,,
234,2022-08-04,166.009995,167.190002,164.429993,165.809998,164.17746,55474100,,,,,,,,,,,,
235,2022-08-05,163.210007,165.850006,163.0,165.350006,163.949387,56697000,,2022-08-05,2022-08-03,AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$164.77,"-25,000","427,334",-6%,"-$4,119,155"
