X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
,2023-09-12 18:48:44,2023-09-11,SNOW,Slootman Frank,"CEO, COB",S - Sale,$170.07,"-1,311","1,049,519",0%,"-$222,963"
,2023-09-12 18:46:42,2023-09-11,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$166.27,-724,"999,050",0%,"-$120,379"
D,2023-09-12 18:43:54,2023-09-11,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$166.27,"-13,740","5,066,874",0%,"-$2,284,550"
D,2023-08-31 18:07:19,2023-08-30,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$154.50,"-8,334","1,052,289",-1%,"-$1,287,637"
D,2023-08-23 17:10:48,2023-08-21,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$151.95,-524,"1,052,289",0%,"-$79,624"
D,2023-08-18 17:17:28,2023-08-17,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$150.48,-30,"1,052,289",0%,"-$4,514"
D,2023-08-17 16:55:40,2023-08-16,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$150.68,"-7,780","1,052,289",-1%,"-$1,172,309"
,2023-08-15 16:58:18,2023-08-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$151.54,"-1,500","1,000,158",0%,"-$227,310"
D,2023-08-11 17:13:22,2023-08-10,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$155.41,"-13,182","5,071,937",0%,"-$2,048,615"
D,2023-08-03 16:57:57,2023-08-02,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$168.35,"-8,334","1,052,289",-1%,"-$1,403,065"
D,2023-07-20 17:47:50,2023-07-19,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$188.40,"-20,834","1,052,289",-2%,"-$3,925,079"
,2023-07-18 17:12:10,2023-07-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$184.94,"-1,500","1,001,658",0%,"-$277,410"
D,2023-07-17 19:01:17,2023-07-13,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$180.00,"-6,591","5,073,914",0%,"-$1,186,380"
D,2023-07-14 18:01:16,2023-07-13,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$180.84,"-9,480","1,052,289",-1%,"-$1,714,369"
D,2023-07-13 17:20:35,2023-07-12,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$175.12,-400,"1,052,289",0%,"-$70,046"
D,2023-07-12 17:40:33,2023-07-10,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$166.53,"-13,182","5,077,869",0%,"-$2,195,198"
D,2023-07-10 17:25:34,2023-07-07,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$175.50,"-2,120","1,052,289",0%,"-$372,058"
,2023-07-10 17:19:22,2023-07-06,SNOW,Briggs Teresa,Dir,S - Sale,$170.25,"-1,109","2,803",-28%,"-$188,807"
D,2023-07-07 16:16:52,2023-07-05,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$173.00,"-8,834","1,052,289",-1%,"-$1,528,314"
D,2023-07-03 16:41:47,2023-06-29,SNOW,Scarpelli Michael,CFO,S - Sale+OE,$180.50,"-200,000","936,034",-18%,"-$36,099,574"
M,2023-07-03 13:23:54,2023-06-29,SNOW,Speiser Michael L,Dir,S - Sale,$177.67,"-500,000","2,362,768",-17%,"-$88,835,222"
DM,2023-06-23 18:22:10,2023-06-21,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$176.84,"-20,834","1,052,289",-2%,"-$3,684,322"
,2023-06-16 18:37:49,2023-06-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$172.73,"-1,500","1,003,158",0%,"-$259,095"
D,2023-06-16 18:33:27,2023-06-14,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$180.00,"-6,591","5,109,246",0%,"-$1,186,380"
D,2023-06-13 20:00:14,2023-06-12,SNOW,Dageville Benoit,Pres of Products,S - Sale+OE,$170.15,"-13,182","5,113,201",0%,"-$2,242,917"
,2023-06-12 20:11:13,2023-06-09,SNOW,Slootman Frank,"CEO, COB",S - Sale,$174.31,"-1,724","1,052,289",0%,"-$300,510"
,2023-06-12 20:05:28,2023-06-09,SNOW,Dageville Benoit,Pres of Products,S - Sale,$174.31,-558,"5,113,201",0%,"-$97,265"
