date,underlying,volume,open,high,low
07-26 11:59:19:689730,194.3789,1,193.67,194.94,193.32
07-26 11:59:20:716286,194.3789,1,193.67,194.94,193.32
07-26 11:59:21:696926,194.3789,1,193.67,194.94,193.32
07-26 11:59:22:711054,194.375,6,193.67,194.94,193.32
07-26 11:59:23:695656,194.3601,1,193.67,194.94,193.32
07-26 11:59:24:708952,194.37,1,193.67,194.94,193.32
07-26 11:59:25:711576,194.36,1,193.67,194.94,193.32
07-26 11:59:26:720874,194.375,1,193.67,194.94,193.32
07-26 11:59:27:716926,194.375,1,193.67,194.94,193.32
07-26 11:59:28:722261,194.37,1,193.67,194.94,193.32
07-26 11:59:29:763907,194.38,1,193.67,194.94,193.32
07-26 11:59:30:760785,194.375,1,193.67,194.94,193.32
07-26 11:59:31:739789,194.37,1,193.67,194.94,193.32
07-26 11:59:32:731106,194.37,1,193.67,194.94,193.32
07-26 11:59:33:744394,194.369,1,193.67,194.94,193.32
07-26 11:59:34:738452,194.369,1,193.67,194.94,193.32
07-26 11:59:35:796428,194.38,1,193.67,194.94,193.32
07-26 11:59:36:758459,194.37,25,193.67,194.94,193.32
07-26 11:59:37:815776,194.375,2,193.67,194.94,193.32
07-26 11:59:38:784267,194.375,2,193.67,194.94,193.32
07-26 11:59:39:801440,194.3699,3,193.67,194.94,193.32
07-26 11:59:40:801473,194.36,1,193.67,194.94,193.32
07-26 11:59:41:787869,194.365,2,193.67,194.94,193.32
07-26 11:59:42:806864,194.365,2,193.67,194.94,193.32
07-26 11:59:43:831747,194.37,1,193.67,194.94,193.32
07-26 11:59:44:852534,194.37,1,193.67,194.94,193.32
07-26 11:59:45:810329,194.37,1,193.67,194.94,193.32
07-26 11:59:46:819264,194.37,1,193.67,194.94,193.32
07-26 11:59:47:834514,194.37,1,193.67,194.94,193.32
07-26 11:59:48:833262,194.38,1,193.67,194.94,193.32
07-26 11:59:49:828461,194.3888,1,193.67,194.94,193.32
07-26 11:59:50:839992,194.39,1,193.67,194.94,193.32
07-26 11:59:51:884001,194.39,1,193.67,194.94,193.32
07-26 11:59:52:846590,194.37,2,193.67,194.94,193.32
07-26 11:59:53:886551,194.37,2,193.67,194.94,193.32
07-26 11:59:54:860484,194.37,2,193.67,194.94,193.32
07-26 11:59:55:863545,194.36,1,193.67,194.94,193.32
07-26 11:59:56:862899,194.36,1,193.67,194.94,193.32
07-26 11:59:57:878356,194.37,1,193.67,194.94,193.32
07-26 11:59:58:910862,194.375,5,193.67,194.94,193.32
07-26 11:59:59:882923,194.375,5,193.67,194.94,193.32
07-26 12:00:00:946962,194.34,1,193.67,194.94,193.32
07-26 12:00:01:893511,194.33,1,193.67,194.94,193.32
07-26 12:00:02:940097,194.33,1,193.67,194.94,193.32
07-26 12:00:03:927668,194.3201,10,193.67,194.94,193.32
07-26 12:00:04:911674,194.323,2,193.67,194.94,193.32
07-26 12:00:05:904047,194.315,5,193.67,194.94,193.32
07-26 12:00:06:947875,194.32,1,193.67,194.94,193.32
07-26 12:00:07:961181,194.33,1,193.67,194.94,193.32
07-26 12:00:08:923149,194.3309,1,193.67,194.94,193.32
07-26 12:00:09:923851,194.34,1,193.67,194.94,193.32
07-26 12:00:10:978808,194.33,3,193.67,194.94,193.32
07-26 12:00:12:963327,194.33,1,193.67,194.94,193.32
07-26 12:00:13:057068,194.34,1,193.67,194.94,193.32
07-26 12:00:14:058970,194.34,1,193.67,194.94,193.32
07-26 12:00:15:149412,194.34,1,193.67,194.94,193.32
07-26 12:00:16:134917,194.34,1,193.67,194.94,193.32
07-26 12:00:17:119418,194.34,1,193.67,194.94,193.32
07-26 12:00:18:133733,194.34,1,193.67,194.94,193.32
07-26 12:00:19:105331,194.335,1,193.67,194.94,193.32
07-26 12:00:20:162689,194.315,1,193.67,194.94,193.32
07-26 12:00:21:118449,194.32,1,193.67,194.94,193.32
07-26 12:00:22:134852,194.325,13,193.67,194.94,193.32
07-26 12:00:23:165568,194.325,13,193.67,194.94,193.32
07-26 12:00:24:144619,194.33,1,193.67,194.94,193.32
07-26 12:00:25:158403,194.33,1,193.67,194.94,193.32
07-26 12:00:26:150479,194.33,1,193.67,194.94,193.32
07-26 12:00:27:197634,194.33,1,193.67,194.94,193.32
07-26 12:00:28:201748,194.33,1,193.67,194.94,193.32
07-26 12:00:29:176861,194.33,1,193.67,194.94,193.32
07-26 12:00:30:179869,194.33,1,193.67,194.94,193.32
07-26 12:00:31:223817,194.32,1,193.67,194.94,193.32
07-26 12:00:32:186597,194.32,1,193.67,194.94,193.32
07-26 12:00:33:183131,194.315,1,193.67,194.94,193.32
07-26 12:00:34:195891,194.3101,13,193.67,194.94,193.32
07-26 12:00:35:241261,194.3186,1,193.67,194.94,193.32
07-26 12:00:36:241680,194.3101,1,193.67,194.94,193.32
07-26 12:00:37:250596,194.315,1,193.67,194.94,193.32
07-26 12:00:38:211837,194.315,1,193.67,194.94,193.32
07-26 12:00:39:258562,194.32,1,193.67,194.94,193.32
07-26 12:00:40:238471,194.315,1,193.67,194.94,193.32
07-26 12:00:41:234500,194.315,1,193.67,194.94,193.32
07-26 12:00:42:236206,194.31,1,193.67,194.94,193.32
07-26 12:00:43:242953,194.3,1,193.67,194.94,193.32
07-26 12:00:44:299072,194.3,1,193.67,194.94,193.32
07-26 12:00:45:258315,194.3,1,193.67,194.94,193.32
07-26 12:00:46:258758,194.3088,1,193.67,194.94,193.32
07-26 12:00:47:306594,194.3088,1,193.67,194.94,193.32
07-26 12:00:48:266185,194.31,1,193.67,194.94,193.32
07-26 12:00:49:317075,194.31,1,193.67,194.94,193.32
07-26 12:00:50:287293,194.31,1,193.67,194.94,193.32
07-26 12:00:51:284884,194.31,1,193.67,194.94,193.32
07-26 12:00:52:286473,194.31,1,193.67,194.94,193.32
07-26 12:00:53:280732,194.31,1,193.67,194.94,193.32
07-26 12:00:54:282622,194.31,1,193.67,194.94,193.32
07-26 12:00:55:285018,194.31,1,193.67,194.94,193.32
07-26 12:00:56:292360,194.31,1,193.67,194.94,193.32
07-26 12:00:57:337438,194.31,1,193.67,194.94,193.32
07-26 12:00:58:305170,194.31,2,193.67,194.94,193.32
07-26 12:00:59:363353,194.3,1,193.67,194.94,193.32
07-26 12:01:00:327251,194.3,1,193.67,194.94,193.32
07-26 12:01:01:439615,194.3,1,193.67,194.94,193.32
07-26 12:01:02:379098,194.31,1,193.67,194.94,193.32
07-26 12:01:03:330417,194.31,1,193.67,194.94,193.32
07-26 12:01:04:363957,194.31,1,193.67,194.94,193.32
07-26 12:01:05:346693,194.3198,1,193.67,194.94,193.32
07-26 12:01:06:343873,194.32,3,193.67,194.94,193.32
07-26 12:01:07:352300,194.32,3,193.67,194.94,193.32
07-26 12:01:08:364060,194.31,1,193.67,194.94,193.32
07-26 12:01:09:368960,194.315,1,193.67,194.94,193.32
07-26 12:01:10:370914,194.315,1,193.67,194.94,193.32
07-26 12:01:11:367762,194.31,1,193.67,194.94,193.32
07-26 12:01:12:415984,194.3001,1,193.67,194.94,193.32
07-26 12:01:13:420339,194.305,1,193.67,194.94,193.32
07-26 12:01:14:382626,194.305,1,193.67,194.94,193.32
07-26 12:01:15:388268,194.305,1,193.67,194.94,193.32
07-26 12:01:16:400867,194.31,1,193.67,194.94,193.32
07-26 12:01:17:445716,194.31,1,193.67,194.94,193.32
07-26 12:01:18:419942,194.31,1,193.67,194.94,193.32
07-26 12:01:19:419948,194.31,1,193.67,194.94,193.32
07-26 12:01:20:424567,194.31,1,193.67,194.94,193.32
07-26 12:01:21:472633,194.31,1,193.67,194.94,193.32
07-26 12:01:22:466173,194.32,1,193.67,194.94,193.32
07-26 12:01:23:451074,194.32,1,193.67,194.94,193.32
07-26 12:01:24:453315,194.32,1,193.67,194.94,193.32
07-26 12:01:25:458678,194.32,1,193.67,194.94,193.32
07-26 12:01:26:471396,194.32,1,193.67,194.94,193.32
07-26 12:01:27:470542,194.32,1,193.67,194.94,193.32
07-26 12:01:28:476018,194.32,1,193.67,194.94,193.32
07-26 12:01:29:523915,194.305,14,193.67,194.94,193.32
07-26 12:01:30:552205,194.29,5,193.67,194.94,193.32
07-26 12:01:31:538483,194.305,1,193.67,194.94,193.32
07-26 12:01:32:517384,194.305,1,193.67,194.94,193.32
07-26 12:01:33:499965,194.305,1,193.67,194.94,193.32
07-26 12:01:34:549465,194.29,1,193.67,194.94,193.32
07-26 12:01:35:522167,194.29,1,193.67,194.94,193.32
07-26 12:01:36:573986,194.29,8,193.67,194.94,193.32
07-26 12:01:37:604472,194.3,1,193.67,194.94,193.32
07-26 12:01:38:545999,194.28,1,193.67,194.94,193.32
07-26 12:01:39:546502,194.28,1,193.67,194.94,193.32
07-26 12:01:40:558810,194.286,1,193.67,194.94,193.32
07-26 12:01:41:559048,194.27,2,193.67,194.94,193.32
07-26 12:01:42:602555,194.28,1,193.67,194.94,193.32
07-26 12:01:43:565180,194.28,1,193.67,194.94,193.32
07-26 12:01:44:591150,194.28,1,193.67,194.94,193.32
07-26 12:01:45:573706,194.29,4,193.67,194.94,193.32
07-26 12:01:46:626743,194.28,1,193.67,194.94,193.32
07-26 12:01:47:626423,194.305,1,193.67,194.94,193.32
07-26 12:01:48:590579,194.28,1,193.67,194.94,193.32
07-26 12:01:49:641069,194.28,1,193.67,194.94,193.32
07-26 12:01:50:611459,194.28,1,193.67,194.94,193.32
