Date,Close,Volume
2023-07-28,235.75,6794800
2023-07-31,237.72999572753906,4799600
2023-08-01,239.77999877929688,4627300
2023-08-02,237.55999755859375,4868200
2023-08-03,238.75999450683594,5033800
2023-08-04,238.99000549316406,5167700
2023-08-07,241.50999450683594,5649800
2023-08-08,239.2899932861328,5080600
2023-08-09,239.75999450683594,4055000
2023-08-10,240.16000366210938,4778000
2023-08-11,240.0399932861328,3606800
2023-08-14,242.89999389648438,4351100
2023-08-15,239.8300018310547,3770100
2023-08-16,239.2899932861328,3218600
2023-08-17,237.3699951171875,4177600
2023-08-18,238.1699981689453,4344800
2023-08-21,239.4600067138672,3573600
2023-08-22,240.57000732421875,3848700
2023-08-23,242.3000030517578,4947700
2023-08-24,239.47000122070312,4570700
2023-08-25,242.57000732421875,3541500
2023-08-28,243.8300018310547,3741500
2023-08-29,245.33999633789062,3975600
2023-08-30,246.22999572753906,4573300
2023-08-31,245.67999267578125,5532600
2023-09-01,248.11000061035156,4111800
2023-09-05,245.33999633789062,4459600
2023-09-06,246.16000366210938,4520300
2023-09-07,247.13999938964844,4007900
2023-09-08,247.2899932861328,3309100
2023-09-11,247.22000122070312,2995800
2023-09-12,247.3000030517578,3499600
2023-09-13,247.8300018310547,5657000
2023-09-14,241.5,12000000
2023-09-15,241.07000732421875,13051300
2023-09-18,244.66000366210938,4771600
2023-09-19,243.55999755859375,4709000
2023-09-20,241.86000061035156,5756600
2023-09-21,236.61000061035156,6881500
2023-09-22,235.0800018310547,5935500
2023-09-25,233.36000061035156,5921600
2023-09-26,229.64999389648438,6193200
2023-09-27,229.5,6006700
2023-09-28,231.66000366210938,4203900
2023-09-29,230.00999450683594,6044200
2023-10-02,231.27000427246094,5175200
2023-10-03,228.80999755859375,5585700
2023-10-04,231.22000122070312,5430900
2023-10-05,233.47999572753906,6126200
2023-10-06,235.0399932861328,6401000
2023-10-09,234.44000244140625,5372200
2023-10-10,236.60000610351562,4644000
2023-10-11,235.67999267578125,4760900
2023-10-12,236.77999877929688,4472800
2023-10-13,237.6699981689453,4966800
2023-10-16,240.07000732421875,6227300
2023-10-17,241.1999969482422,4527600
2023-10-18,237.47000122070312,9528300
2023-10-19,233.80999755859375,5927400
2023-10-20,233.3800048828125,5748300
2023-10-23,231.52999877929688,5071700
2023-10-24,234.64999389648438,6844100
2023-10-25,236.85000610351562,10365300
2023-10-26,231.27999877929688,6414500
2023-10-27,229.27000427246094,5540900
2023-10-30,233.0800018310547,5170300
2023-10-31,235.10000610351562,4828400
