,Date,Close,Volume,Insider_Trades,News_Sentiment
191,2024-03-04,149.99000549316406,2162686,0.0,
192,2024-03-05,149.9499969482422,2255443,0.0,
193,2024-03-06,150.63999938964844,1918085,0.0,
194,2024-03-07,150.27000427246094,2106200,0.0,
195,2024-03-08,151.24000549316406,1919100,0.0,
196,2024-03-11,149.74000549316406,2879494,0.0,
197,2024-03-12,150.64999389648438,1937577,0.0,
198,2024-03-13,151.0500030517578,2784825,0.0,
199,2024-03-14,149.94000244140625,2703398,0.0,
200,2024-03-15,149.6300048828125,3408151,-3588623.0,
201,2024-03-18,152.14999389648438,2211136,0.0,
202,2024-03-19,154.30999755859375,3068890,0.0,
203,2024-03-20,155.49000549316406,2296227,-9801484.0,
204,2024-03-21,156.36000061035156,3021175,0.0,
205,2024-03-22,156.2899932861328,2532995,0.0,
206,2024-03-25,156.77999877929688,2272226,0.0,
207,2024-03-26,158.6699981689453,3465147,0.0,
208,2024-03-27,159.3300018310547,2382919,0.0,
209,2024-03-28,159.82000732421875,2751422,0.0,
210,2024-04-01,158.57000732421875,1865992,0.0,
211,2024-04-02,158.27000427246094,1920350,0.0,
212,2024-04-03,157.67999267578125,2067053,0.0,
213,2024-04-04,154.91000366210938,2600090,0.0,-1.0
214,2024-04-05,157.3800048828125,1691821,0.0,
215,2024-04-08,157.85000610351562,1998603,0.0,
216,2024-04-09,155.3800048828125,1889121,0.0,0.0
217,2024-04-10,153.77999877929688,1733804,0.0,
218,2024-04-11,153.58999633789062,1763365,0.0,
219,2024-04-12,151.1999969482422,2118392,0.0,
220,2024-04-15,148.19000244140625,2275670,-3632143.0,
221,2024-04-16,146.39999389648438,3294098,0.0,
222,2024-04-17,147.10000610351562,2949247,0.0,1.0
223,2024-04-18,146.91000366210938,1989629,0.0,
224,2024-04-19,148.6199951171875,2515820,0.0,
225,2024-04-22,148.8000030517578,2773124,0.0,
226,2024-04-23,155.38999938964844,5334751,0.0,
227,2024-04-24,152.25,2487304,0.0,
228,2024-04-25,153.2899932861328,3049955,0.0,
229,2024-04-26,155.88999938964844,3196489,0.0,
230,2024-04-29,154.32000732421875,1940779,0.0,
231,2024-04-30,152.6699981689453,2730169,0.0,
232,2024-05-01,148.86000061035156,3248496,0.0,
233,2024-05-02,149.1699981689453,2572262,0.0,
234,2024-05-03,149.22000122070312,2942809,0.0,
235,2024-05-06,150.58999633789062,2132449,0.0,
236,2024-05-07,153.0399932861328,1964416,0.0,
237,2024-05-08,153.2899932861328,2221493,0.0,
238,2024-05-09,154.6699981689453,2408084,0.0,
239,2024-05-10,154.22000122070312,2055296,0.0,
240,2024-05-13,153.22000122070312,2067398,0.0,1.0
241,2024-05-14,153.67999267578125,1993235,0.0,1.0
242,2024-05-15,155.00999450683594,1692576,-3709358.0,
243,2024-05-16,152.83999633789062,2914356,0.0,0.0
244,2024-05-17,152.7100067138672,3093991,0.0,
245,2024-05-20,151.33999633789062,1777059,0.0,
246,2024-05-21,152.77000427246094,2101294,0.0,
247,2024-05-22,152.57000732421875,1446001,0.0,
248,2024-05-23,150.1999969482422,1612903,0.0,
