volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
100,196.29,196.29,196.29,196.29,196.29,1704810733000,1,137,2024-01-09 08:32:13,195.58589341332433
518,196.3367,196.375,196.3825,196.3825,196.375,1704810734000,27,138,2024-01-09 08:32:14,195.58884835658273
1130,196.3287,196.3501,196.305,196.3501,196.305,1704810740000,12,139,2024-01-09 08:32:20,195.59514634188596
305,196.3385,196.35,196.35,196.35,196.35,1704810742000,2,140,2024-01-09 08:32:22,195.59685037166196
494,196.4682,196.5,196.5,196.5,196.5,1704810744000,15,141,2024-01-09 08:32:24,195.60007360515178
206,196.5482,196.545,196.545,196.545,196.545,1704810749000,9,142,2024-01-09 08:32:29,195.60153388610175
110,196.6339,196.64,196.64,196.64,196.64,1704810750000,2,143,2024-01-09 08:32:30,195.6023822308215
310,196.5468,196.5469,196.5469,196.5469,196.5469,1704810753000,2,144,2024-01-09 08:32:33,195.60456429332714
1437,196.6328,196.64,196.57,196.64,196.57,1704810754000,2,145,2024-01-09 08:32:34,195.61546021916106
1206,196.4708,196.48,196.46,196.48,196.46,1704810755000,16,146,2024-01-09 08:32:35,195.62299994298826
151,196.3695,196.37,196.37,196.37,196.37,1704810757000,2,147,2024-01-09 08:32:37,195.62382293797683
1073,196.2625,196.27,196.27,196.31,196.26,1704810759000,16,148,2024-01-09 08:32:39,195.62878751648097
400,196.1384,196.12,196.14,196.14,196.12,1704810760000,3,149,2024-01-09 08:32:40,195.63025998064114
577,195.7773,195.76,195.73,195.76,195.73,1704810765000,16,150,2024-01-09 08:32:45,195.63087028953706
210,195.69,195.69,195.69,195.69,195.69,1704810766000,2,151,2024-01-09 08:32:46,195.63095947782364
206,195.6505,195.68,195.68,195.68,195.68,1704810768000,7,152,2024-01-09 08:32:48,195.63098834764145
344,195.7776,195.78,195.78,195.78,195.78,1704810773000,6,153,2024-01-09 08:32:53,195.6313491733142
200,195.795,195.82,195.77,195.82,195.77,1704810774000,2,154,2024-01-09 08:32:54,195.63158300196457
109,195.9125,195.91,195.91,195.91,195.91,1704810775000,2,155,2024-01-09 08:32:55,195.63180158476337
525,195.955,195.955,195.955,195.955,195.955,1704810778000,1,156,2024-01-09 08:32:58,195.63300832948096
526,195.9113,195.895,195.895,195.895,195.895,1704810779000,10,157,2024-01-09 08:32:59,195.63404550253298
200,195.895,195.895,195.895,195.895,195.895,1704810782000,1,158,2024-01-09 08:33:02,195.6344147734106
300,195.7,195.78,195.66,195.78,195.66,1704810786000,2,159,2024-01-09 08:33:06,195.63455369082493
